"Table 1: E-5 County/State Population and Housing Estimates, 1/1/2015",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,
Sierra,"3,195","3,158",37,"2,337","2,108",24,33,73,99,"1,448",38.0%,2.21,,
Siskiyou,"44,730","44,176",554,"23,985","16,622",571,"1,523","1,718","3,551","19,393",19.1%,2.29,,
Solano,"427,122","416,072","11,050","155,440","111,490","6,582","11,264","21,515","4,589","146,156",6.0%,2.83,,
Sonoma,"500,051","489,614","10,437","206,902","141,689","14,454","13,523","25,808","11,428","190,485",7.9%,2.55,,
Stanislaus,"535,125","528,609","6,516","180,418","134,608","7,484","12,400","17,338","8,588","167,289",7.3%,3.15,,
Sutter,"96,390","95,555",835,"34,140","24,385","1,444","2,209","4,586","1,516","31,526",7.7%,3.06,,
Tehama,"63,837","62,977",860,"27,350","17,599",451,"1,380","1,734","6,186","23,919",12.5%,2.64,,
Trinity,"13,676","13,286",390,"8,750","5,813",117,347,269,"2,204","5,896",32.6%,2.29,,
Tulare,"462,061","457,096","4,965","145,903","110,284","3,893","12,054","9,106","10,566","133,768",8.3%,3.42,,
Tuolumne,"54,663","51,182","3,481","31,406","25,024",293,"1,232","1,428","3,429","22,269",29.1%,2.31,,
Ventura,"851,451","840,367","11,084","285,808","183,775","31,038","15,759","43,890","11,346","271,593",5.0%,3.09,,
Yolo,"211,126","200,635","10,491","75,231","44,851","4,731","6,553","15,563","3,533","71,995",4.3%,2.82,,
Yuba,"74,044","72,796","1,248","27,940","19,454",545,"2,647","2,343","2,951","25,600",8.4%,2.90,,
,,,,,,,,,,,,,,
California,"38,915,880","38,072,285","843,595","13,914,792","8,066,703","975,132","1,121,287","3,191,257","560,407","12,853,968",7.6%,2.96,,
