"Table 1: E-5 County/State Population and Housing Estimates, 4/1/2010",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,
Plumas,"20,007","19,730",277,"15,566","12,009",393,329,667,"2,168","8,977",42.3%,2.20,,
Riverside,"2,189,641","2,153,812","35,829","800,707","543,209","50,784","38,409","89,577","78,728","686,260",14.3%,3.14,,
Sacramento,"1,418,788","1,395,001","23,787","555,932","357,248","34,749","44,929","104,226","14,780","513,945",7.6%,2.71,,
San Benito,"55,269","54,980",289,"17,870","13,838",737,"1,404","1,046",845,"16,805",6.0%,3.27,,
San Bernardino,"2,035,210","1,995,156","40,054","699,637","498,965","24,640","45,123","87,405","43,504","611,618",12.6%,3.26,,
San Diego,"3,095,313","2,991,515","103,798","1,164,028","603,441","104,163","84,621","326,037","45,766","1,086,113",6.7%,2.75,,
San Francisco,"805,235","779,453","25,782","376,162","65,764","59,617","80,668","169,511",602,"345,168",8.2%,2.26,,
San Joaquin,"685,306","670,952","14,354","233,755","169,118","12,281","14,898","28,885","8,573","215,007",8.0%,3.12,,
San Luis Obispo,"269,637","252,631","17,006","117,315","79,553","6,445","9,023","11,654","10,640","102,016",13.0%,2.48,,
San Mateo,"718,451","709,598","8,853","271,031","155,189","25,015","17,471","70,178","3,178","257,837",4.9%,2.75,,
Santa Barbara,"423,895","406,113","17,782","152,834","89,896","10,162","14,732","30,156","7,888","142,104",7.0%,2.86,,
Santa Clara,"1,781,642","1,751,292","30,350","631,920","344,586","61,517","48,831","157,948","19,038","604,204",4.4%,2.90,,
Santa Cruz,"262,382","251,413","10,969","104,476","66,020","9,367","9,558","12,612","6,919","94,355",9.7%,2.67,,
Shasta,"177,223","174,569","2,654","77,313","53,264","2,729","5,725","6,663","8,932","70,346",9.0%,2.48,,
Sierra,"3,240","3,207",33,"2,328","2,099",24,33,73,99,"1,482",36.3%,2.16,,
Siskiyou,"44,900","44,426",474,"23,910","16,605",571,"1,524","1,730","3,480","19,505",18.4%,2.28,,
Solano,"413,344","400,892","12,452","152,698","109,059","6,592","11,213","21,252","4,582","141,758",7.2%,2.83,,
Sonoma,"483,878","473,835","10,043","204,572","140,376","14,325","13,421","25,086","11,364","185,825",9.2%,2.55,,
Stanislaus,"514,453","508,148","6,305","179,503","133,952","7,484","12,382","17,127","8,558","165,180",8.0%,3.08,,
Sutter,"94,737","93,677","1,060","33,858","24,149","1,444","2,197","4,571","1,497","31,437",7.2%,2.98,,
Tehama,"63,463","62,621",842,"26,987","17,393",416,"1,386","1,734","6,058","23,767",11.9%,2.64,,
Trinity,"13,786","13,401",385,"8,681","5,758",117,347,269,"2,190","6,083",29.9%,2.20,,
Tulare,"442,179","437,407","4,772","141,696","106,862","3,890","11,948","8,678","10,318","130,352",8.0%,3.36,,
Tuolumne,"55,365","50,883","4,482","31,244","24,914",289,"1,230","1,428","3,383","22,156",29.1%,2.30,,
Ventura,"823,318","812,718","10,600","281,695","182,703","30,893","15,000","41,779","11,320","266,920",5.2%,3.05,,
Yolo,"200,849","191,552","9,297","73,908","43,882","4,697","6,547","15,265","3,517","69,761",5.6%,2.75,,
Yuba,"72,155","70,984","1,171","27,635","19,234",544,"2,639","2,295","2,923","24,307",12.0%,2.92,,
,,,,,,,,,,,,,,
California,"37,253,956","36,412,191","841,765","13,670,304","7,959,072","966,440","1,110,620","3,076,519","557,647","12,568,167",8.1%,2.90,,
