"Time","Homes Foreclosed Alameda California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Alpine California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Amador California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Butte California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Calaveras California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Colusa California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Contra Costa California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Del Norte California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed El Dorado California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Fresno California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Glenn California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Humboldt California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Imperial California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Inyo California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Kern California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Kings California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Lake California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Lassen California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Los Angeles California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Madera California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Marin California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Mariposa California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Mendocino California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Merced California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Modoc California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Mono California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Monterey California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Napa California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Nevada California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Orange California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Placer California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Plumas California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Riverside California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Sacramento California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Benito California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Bernardino California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Diego California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Francisco California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Joaquin California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Luis Obispo California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Mateo California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Santa Barbara California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Santa Clara California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Santa Cruz California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Shasta California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Sierra California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Siskiyou California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Solano California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Sonoma California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Stanislaus California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Sutter California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Tehama California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Trinity California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Tulare California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Tuolumne California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Ventura California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Yolo California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Yuba California  - Homes Foreclosed
  - #/10,000 Homes"
"201511","1.21","27.33","6.08","2.81","1.87","7.78","1.72","2.76","1.97","3.75","2.25","2.12","2.21","","4.6","3.97","3.57","13.23","1.85","4.19","0.75","2.21","1.94","2.99","11.06","2.52","2.2","1.03","1.79","0.92","2.13","3.29","3.18","3.28","1.3","3.63","1.74","0.67","3.37","1.43","0.67","1.54","0.8","1.58","6.18","28.07","4.79","2.97","1.72","3.21","2.91","5.54","2.58","4.33","4.89","1.32","2.99","6.09"
"201510","1.35","23.87","6.99","3.64","3.12","5.93","1.69","3.39","2.74","4.04","1.9","3.28","3.2","2.91","5.14","3.2","3.86","11.21","1.94","4.81","0.43","3.34","3.29","2.38","14.08","2.58","2.28","1.24","1.72","0.95","1.81","4.05","3.3","3.04","2.22","3.98","1.75","0.92","3.59","1.26","0.64","1.59","0.59","0.78","6.05","15.97","5.23","3.3","1.27","2.59","3.18","6.33","6.96","4.43","6.54","1.27","2.92","5.68"
"201509","1.48","17.61","8.890000000000001","4.42","4.31","4.38","1.56","3.91","2.78","4.11","1.78","3.01","3.61","4.64","5.16","4","4.32","11.86","1.97","5.03","0.47","5.41","3.25","3.01","15.37","1.8","1.85","0.58","2.06","1.04","1.88","5.53","3.58","3.33","1.37","4.58","1.49","0.72","3.68","1.18","0.52","1.48","0.48","0.83","5.15","","5.61","3.6","0.87","2.94","2.6","6.42","10.83","4.67","5.97","1.6","2.88","5.26"
"201508","1.56","","7.63","3.8","4.35","3.75","1.53","4.96","2.75","3.9","2.89","1.25","3.83","2.38","4.42","4.63","5.68","12.8","2.05","5.37","0.76","4.67","2.48","3.69","15.42","1.45","1.6","1.01","2.16","1.08","2","5.3","3.49","3.33","1.96","4.44","1.62","0.61","3.54","1.17","0.63","2.01","0.57","0.92","3.8","13.84","6.35","3.42","0.78","3.06","3.03","5.82","11.95","4.28","4.86","1.97","2.21","5.23"
"201507","1.52","","7.62","4.15","2.27","7.41","1.74","4.46","2.7","4.4","6.09","2.21","4.37","2.36","4.41","4.76","5.57","15.39","2.1","4.95","0.88","6.93","1.83","3.96","16.61","1.14","1.86","1.67","2.65","1.27","1.89","5.13","3.86","3.37","2.34","4.82","1.62","0.7","3.57","1.13","0.88","2.09","0.65","1.14","4.02","32.1","6.41","3.54","1","3.6","2.87","6.55","9.029999999999999","4.9","3.77","1.91","2.67","5.7"
"201506","1.65","8.1","6.8","4.37","2.31","8.01","1.8","6.15","2.77","4.72","6.99","3.81","4.5","5.95","4.57","5.55","8.07","14.93","2.24","4.49","0.65","4.28","1.68","3.82","25.77","2.45","2.67","2.13","3.06","1.29","1.51","3.68","4.1","3.54","2.4","5.27","1.74","0.75","4.15","1.13","0.78","2.36","0.7","0.96","5.33","36.06","10.34","3.65","1.22","3.7","3.67","5.29","7.41","4.6","3.31","2.21","2.59","4.48"
"201505","1.57","13.83","8.6","5.1","3.18","6.66","2.1","7.81","2.26","4.95","4.51","4.88","4.89","8.41","5.22","5.5","7.8","14.99","2.31","5.73","0.73","4.34","2.8","3.82","6.23","2.55","2.74","2.2","3.03","1.28","1.73","4.45","3.83","3.84","2.81","4.21","1.87","0.7","4.19","1.29","0.74","2.39","0.73","1.41","5.69","25.39","10.8","3.63","1.16","3.78","5.12","4.87","7.01","4.39","3.9","2.18","2.4","6.25"
"201504","1.65","8.31","6.06","3.65","3.18","7.72","2.47","5.46","2.33","5.55","7.25","4.94","5.23","8.23","5.51","5.45","8.57","12.07","2.51","6.88","0.61","4.42","2.91","3.23","10.22","2.37","3.27","2.42","2.64","1.43","2.11","4.28","3.97","3.9","2.08","4.59","2.04","0.48","3.96","1.72","0.59","2.49","0.79","1.51","5.14","8.34","8.5","3.19","1.64","3.09","5.49","7.31","9.869999999999999","5.02","3.9","2.19","1.39","7.92"
"201503","1.55","","5.95","3.47","3.78","6.43","2.25","5.26","2.83","4.74","10.32","3.4","5.55","3.86","5.34","5.56","7.58","13.08","2.36","5.28","0.71","3.87","2.83","3.69","4.88","1.31","3.48","2.2","2.65","1.5","2.73","7.91","3.86","3.64","1.69","4.21","1.84","0.51","3.59","1.77","0.66","2.51","0.83","1.24","5.5","14.42","6.44","2.84","1.75","3.3","3.62","8.06","8.66","4.43","3.44","1.99","1.74","6.58"
"201502","1.82","","7.1","4.79","4.66","8.039999999999999","2.27","5.07","3.24","4.92","11.32","3.09","2.7","","5.47","6.7","6.98","15.05","2.27","4.84","0.86","4.78","4.18","4.26","","0.97","3.29","2.16","2.43","1.45","2.45","10.69","3.94","3.49","2.44","4.25","1.89","0.6899999999999999","3.87","1.44","0.87","1.78","0.95","0.86","6.41","11.22","8.31","2.73","1.72","3.53","3.31","8.18","5.44","4.08","4.82","1.95","2.58","6.04"
"201501","2.15","","7.43","5.12","4.16","8.01","2.24","4.86","2.88","4.58","5.02","2.79","3.37","1.95","6.52","6.64","8.35","20.07","2.4","5.29","1.28","5.04","6.35","4.1","","0.68","2.62","2.47","3.33","1.33","2.79","11.99","4.52","4.22","3.8","4.29","2.02","0.65","5.18","1.29","0.95","1.69","0.96","1.02","6.56","9.65","8.48","3.12","2.05","4.31","4.39","6.74","9.279999999999999","4.74","6.18","2.17","3.55","6.11"
"201412","2.06","","4.98","5.23","6.59","6.76","2.23","5.35","2.76","4.19","6.37","2.88","4.08","3.33","6.18","5.21","9.640000000000001","27.5","2.4","4.41","1.31","6.75","5.97","4.03","4.65","1.08","2.7","1.78","3.08","1.31","2.9","10.14","4.57","4.66","5.3","4.59","2.03","0.5","5.27","1.19","0.82","2.17","0.98","1.7","5.57","18.33","9.59","3.24","1.94","4.04","5.65","9.949999999999999","12.86","5.46","7.37","2.17","4.03","6.15"
"201411","1.95","","6.15","5.21","5.62","8.720000000000001","2.08","7.55","3.4","3.85","3.05","1.64","4.99","2.64","5.45","5.57","7.55","20.45","2.27","5.2","1","5.84","5.64","4.57","","2.98","2.3","1.49","1.67","1.37","2.25","6.61","4.22","4.13","3.76","4.57","1.95","0.5","4.54","1.44","0.89","2.34","0.88","2.34","5.53","20.6","7.59","3","1.54","3.8","7.2","12.46","17.66","5.15","6.86","1.69","2.29","9.630000000000001"
"201410","1.91","","6.18","5.99","4.3","14.53","1.99","14.78","3.65","4.28","3.61","3.96","5.35","1.98","5.75","6.76","7.6","12.87","2.44","6.58","0.82","4.82","4.88","6.34","","4.18","2.83","1.36","1.83","1.46","2.27","5.96","4.18","4.04","3.11","5.13","1.94","0.6","4.72","1.36","1.13","2.42","0.92","2.31","5.9","","6.27","3.39","1.8","3.26","5.83","12.77","11.98","5.02","7.48","1.91","2.59","8.449999999999999"
"201409","1.57","","4.77","5.37","4.52","13.12","1.91","25.12","3.15","4.31","4.98","5.37","6.52","3.29","4.83","6.17","4.43","19.86","2.37","5.26","0.5600000000000001","4.89","4.22","5.06","4.55","3.14","2.63","0.91","2.04","1.27","2.52","6.77","4.04","3.94","2.53","5.76","1.89","0.87","4.23","1.59","1.11","2.13","0.78","1.55","5.89","17.99","5.07","3.85","1.61","3.21","6.09","10.14","6.6","5.47","7.58","1.77","2.49","7.4"
"201408","1.89","","5.43","5.82","6.05","5.5","2.05","31.7","2.42","3.76","4.58","4.8","5.89","1.71","5.69","6.54","5.61","17.65","2.37","4.47","0.62","4.76","4.4","4.5","","1.28","2.39","0.68","2.47","1.22","2.89","9.880000000000001","4.28","4.08","1.57","6.01","2","1.03","4.54","1.65","0.9","2.57","0.8","1.57","5.67","19.32","7.63","4","1.76","3.56","5.16","11.62","7.16","5.68","7.27","1.93","3.08","8.109999999999999"
"201407","1.96","","8.16","6.1","6.08","2.64","2.19","10.47","2.82","3.94","8.27","3.82","5.89","","6.18","5.62","8.52","19.1","2.61","3.74","0.79","5.93","4.82","4.75","9.75","2.47","2.41","0.7","2.32","1.34","2.19","10.14","4.53","4.41","1.37","6.56","2.05","1.11","5.13","1.89","0.96","2.84","0.9","1.74","6.55","36.8","11.49","4.57","1.84","3.94","6.93","11.7","14.57","5.61","6.63","2.32","2.37","7.26"
"201406","1.99","","7.24","4.89","5.68","4.33","2.14","10.43","3","4.17","11.37","3.76","6.41","","5.71","5.54","10.8","14.36","2.59","3.31","0.87","7.74","5.13","4.55","18.81","2.43","2.03","1.01","2.74","1.33","2.19","6.81","4.42","4.54","1.51","5.56","2.15","0.5","4.57","1.33","0.97","2.58","0.89","1.91","5.64","34.72","12.51","4.81","1.85","3.68","5.54","10.84","16.38","5.51","4.78","2.12","1.89","7.87"
"201405","2.2","10.16","9.35","5.31","5.23","7.83","2.45","5.08","3.36","4.9","13.39","3.98","5.83","2.65","5.46","5.55","9.42","15.35","2.64","4.46","0.62","4.59","4.58","4.64","15.8","2.6","1.77","1.76","2.33","1.47","2.51","6.06","4.65","5.22","2.91","5.8","2.27","0.53","4.43","1.14","0.83","2.22","0.67","1.87","7.19","23.4","10.03","5","1.92","4.54","6.71","12.96","11.74","5.36","6.18","1.85","2.91","8.390000000000001"
"201404","2.51","","8.1","6.09","7.18","7.06","2.71","4.44","3.79","4.92","8.26","3.53","5.84","3.79","5.67","6.14","9.76","19.03","2.75","5.44","0.82","3.69","4.19","4.76","26.54","2.63","2.27","2.03","2.86","1.58","2.68","6.98","4.97","5.71","4.03","5.67","2.31","0.88","5.27","1.39","0.88","2.38","0.8","1.75","7.5","24.71","9.9","4.75","2.12","4.96","7.06","12.53","11.11","5.54","7.47","1.74","4","12.16"
