Traditional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month/QTR,CA,Alameda,Amador,Butte,Contra Costa,El Dorado,Fresno,Humboldt,Kern,Kings,Lake,LA,Madera,Marin,Mariposa/Tuolumne,Mendocino,Merced,Monterey,Napa,Orange,Placer,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Ventura,Yolo,Yuba
Jun-97,0.38,0.34,,,0.21,,0.56,,,,,0.38,,0.21,,,0.57,,,0.36,,0.54,0.59,,0.56,0.37,0.21,,0.36,0.16,0.37,0.28,0.28,,,,0.39,,,,,0.38,,
Jul-97,0.38,0.33,,,0.23,,0.54,,,,,0.39,,0.22,,,0.51,,,0.38,,0.54,0.59,,0.58,0.36,0.21,,0.33,0.17,0.23,0.28,0.27,,,,0.38,,,,,0.40,,
Aug-97,0.38,0.35,,,0.25,,0.55,,,,,0.37,,0.22,,,0.51,,,0.38,,0.54,0.61,,0.59,0.36,0.19,,0.37,0.17,0.27,0.28,0.29,,,,0.42,,,,,0.39,,
Sep-97,0.38,0.35,,,0.26,,0.54,,,,,0.38,,0.22,,,0.55,,,0.38,,0.54,0.62,,0.59,0.39,0.20,,0.32,0.19,0.21,0.28,0.27,,,,0.41,,,,,0.40,,
Oct-97,0.39,0.35,,,0.26,,0.57,,,,,0.37,,0.21,,,0.54,,,0.38,,0.55,0.63,,0.59,0.39,0.22,,0.36,0.20,0.25,0.28,0.31,,,,0.42,,,,,0.43,,
Nov-97,0.39,0.35,,,0.26,,0.54,,,,,0.39,,0.23,,,0.62,,,0.38,,0.54,0.62,,0.59,0.39,0.20,,0.33,0.18,0.21,0.29,0.30,,,,0.44,,,,,0.44,,
Dec-97,0.41,0.37,,,0.26,,0.54,,,,,0.39,,0.23,,,0.56,,,0.38,,0.56,0.65,,0.60,0.39,0.18,,0.35,0.18,0.32,0.28,0.30,,,,0.44,,,,,0.42,,
Jan-98,0.41,0.38,,,0.27,,0.58,,,,,0.41,,0.25,,,0.51,,,0.39,,0.58,0.65,,0.60,0.40,0.22,,0.39,0.19,0.28,0.31,0.29,,,,0.40,,,,,0.45,,
Feb-98,0.43,0.38,,,0.27,,0.58,,,,,0.41,,0.24,,,0.55,,,0.39,,0.54,0.64,,0.59,0.42,0.23,,0.43,0.20,0.27,0.33,0.30,,,,0.42,,,,,0.43,,
Mar-98,0.40,0.37,,,0.27,,0.58,,,,,0.40,,0.23,,,0.57,,,0.38,,0.54,0.62,,0.59,0.38,0.23,,0.40,0.19,0.34,0.28,0.29,,,,0.42,,,,,0.45,,
Apr-98,0.39,0.33,,,0.28,,0.58,,,,,0.38,,0.21,,,0.51,,,0.37,,0.54,0.60,,0.58,0.36,0.18,,0.43,0.18,0.31,0.25,0.29,,,,0.42,,,,,0.45,,
May-98,0.39,0.35,,,0.26,,0.57,,,,,0.39,,0.22,,,0.50,,,0.35,,0.51,0.59,,0.56,0.37,0.17,,0.38,0.19,0.36,0.25,0.27,,,,0.37,,,,,0.42,,
Jun-98,0.37,0.32,,,0.22,,0.56,,,,,0.36,,0.23,,,0.52,,,0.34,,0.54,0.60,,0.56,0.35,0.21,,0.39,0.17,0.38,0.25,0.28,,,,0.35,,,,,0.44,,
Jul-98,0.37,0.33,,,0.26,,0.57,,,,,0.36,,0.21,,,0.55,,,0.33,,0.51,0.60,,0.53,0.35,0.19,,0.39,0.18,0.25,0.26,0.27,,,,0.36,,,,,0.42,,
Aug-98,0.38,0.34,,,0.23,,0.57,,,,,0.37,,0.24,,,0.48,,,0.33,,0.54,0.60,,0.55,0.34,0.21,,0.37,0.21,0.30,0.28,0.27,,,,0.36,,,,,0.43,,
Sep-98,0.40,0.36,,,0.24,,0.58,,,,,0.40,,0.22,,,0.57,,,0.35,,0.56,0.61,,0.56,0.38,0.22,,0.36,0.22,0.27,0.30,0.27,,,,0.37,,,,,0.44,,
Oct-98,0.43,0.36,,,0.26,,0.58,,,,,0.42,,0.25,,,0.54,,,0.37,,0.55,0.61,,0.55,0.39,0.23,,0.38,0.25,0.42,0.33,0.31,,,,0.38,,,,,0.47,,
Nov-98,0.42,0.38,,,0.29,,0.58,,,,,0.41,,0.24,,,0.51,,,0.38,,0.56,0.61,,0.57,0.39,0.21,,0.39,0.25,0.33,0.34,0.31,,,,0.37,,,,,0.47,,
Dec-98,0.42,0.38,,,0.28,,0.57,,,,,0.42,,0.27,,,0.53,,,0.37,,0.58,0.61,,0.55,0.38,0.22,,0.41,0.24,0.38,0.31,0.31,,,,0.37,,,,,0.46,,
Jan-99,0.42,0.40,,,0.26,,0.61,,,,,0.43,,0.25,,,0.55,,,0.38,,0.56,0.64,,0.58,0.36,0.23,,0.39,0.23,0.27,0.34,0.30,,,,0.38,,,,,0.45,,
Feb-99,0.43,0.40,,,0.29,,0.59,,,,,0.40,,0.23,,,0.58,,,0.36,,0.56,0.61,,0.57,0.39,0.23,,0.37,0.21,0.47,0.33,0.26,,,,0.35,,,,,0.45,,
Mar-99,0.39,0.34,,,0.22,,0.59,,,,,0.42,,0.24,,,0.53,,,0.35,,0.52,0.61,,0.55,0.36,0.19,,0.38,0.21,0.30,0.29,0.26,,,,0.34,,,,,0.43,,
Apr-99,0.38,0.31,,,0.24,,0.55,,,,,0.40,,0.20,,,0.54,,,0.35,,0.51,0.59,,0.56,0.35,0.18,,0.34,0.19,0.28,0.28,0.26,,,,0.32,,,,,0.42,,
May-99,0.37,0.29,,,0.26,,0.56,,,,,0.39,,0.18,,,0.52,,,0.36,,0.53,0.59,,0.54,0.34,0.18,,0.36,0.18,0.34,0.29,0.26,,,,0.31,,,,,0.41,,
Jun-99,0.36,0.27,,,0.20,,0.54,,,,,0.38,,0.19,,,0.50,,,0.33,,0.51,0.57,,0.54,0.32,0.15,,0.31,0.17,0.36,0.27,0.23,,,,0.28,,,,,0.44,,
Jul-99,0.36,0.26,,,0.19,,0.55,,,,,0.38,,0.18,,,0.47,,,0.32,,0.49,0.57,,0.52,0.32,0.16,,0.33,0.17,0.31,0.27,0.21,,,,0.28,,,,,0.37,,
Aug-99,0.35,0.26,,,0.19,,0.56,,,,,0.38,,0.18,,,0.53,,,0.31,,0.49,0.56,,0.50,0.29,0.17,,0.28,0.19,0.41,0.26,0.21,,,,0.27,,,,,0.36,,
Sep-99,0.36,0.30,,,0.19,,0.56,,,,,0.38,,0.21,,,0.52,,,0.32,,0.50,0.56,,0.51,0.30,0.17,,0.31,0.20,0.18,0.26,0.20,,,,0.27,,,,,0.39,,
Oct-99,0.37,0.26,,,0.19,,0.57,,,,,0.40,,0.18,,,0.47,,,0.32,,0.49,0.57,,0.52,0.31,0.18,,0.27,0.19,0.26,0.29,0.23,,,,0.28,,,,,0.38,,
Nov-99,0.36,0.28,,,0.20,,0.56,,,,,0.39,,0.19,,,0.52,,,0.32,,0.49,0.57,,0.54,0.31,0.15,,0.32,0.19,0.20,0.26,0.21,,,,0.26,,,,,0.40,,
Dec-99,0.36,0.29,,,0.21,,0.55,,,,,0.40,,0.17,,,0.48,,,0.33,,0.51,0.57,,0.53,0.31,0.15,,0.33,0.18,0.18,0.26,0.21,,,,0.27,,,,,0.37,,
Jan-00,0.34,0.24,,,0.15,,0.53,,,,,0.39,,0.16,,,0.54,,,0.31,,0.45,0.57,,0.52,0.27,0.16,,0.28,0.15,0.15,0.24,0.21,,,,0.24,,,,,0.35,,
Feb-00,0.34,0.23,,,0.18,,0.58,,,,,0.37,,0.15,,,0.50,,,0.28,,0.43,0.57,,0.52,0.28,0.13,,0.25,0.15,0.19,0.20,0.17,,,,0.23,,,,,0.35,,
Mar-00,0.32,0.20,,,0.13,,0.59,,,,,0.37,,0.15,,,0.51,,,0.28,,0.46,0.55,,0.52,0.25,0.12,,0.26,0.12,0.21,0.16,0.14,,,,0.22,,,,,0.32,,
Apr-00,0.32,0.18,,,0.11,,0.55,,,,,0.35,,0.15,,,0.53,,,0.27,,0.45,0.54,,0.52,0.25,0.10,,0.21,0.12,0.26,0.15,0.16,,,,0.21,,,,,0.29,,
May-00,0.31,0.18,,,0.12,,0.53,,,,,0.36,,0.14,,,0.54,,,0.26,,0.42,0.53,,0.51,0.22,0.10,,0.26,0.11,0.19,0.16,0.13,,,,0.18,,,,,0.32,,
Jun-00,0.30,0.16,,,0.12,,0.52,,,,,0.33,,0.15,,,0.49,,,0.25,,0.44,0.51,,0.50,0.23,0.09,,0.24,0.13,0.25,0.16,0.17,,,,0.15,,,,,0.25,,
Jul-00,0.31,0.18,,,0.13,,0.56,,,,,0.36,,0.14,,,0.47,,,0.27,,0.44,0.51,,0.50,0.23,0.12,,0.23,0.13,0.32,0.16,0.13,,,,0.18,,,,,0.30,,
Aug-00,0.29,0.20,,,0.12,,0.51,,,,,0.33,,0.15,,,0.47,,,0.26,,0.43,0.51,,0.51,0.23,0.10,,0.20,0.13,0.23,0.18,0.14,,,,0.18,,,,,0.31,,
Sep-00,0.31,0.20,,,0.14,,0.52,,,,,0.34,,0.15,,,0.49,,,0.27,,0.44,0.52,,0.50,0.24,0.12,,0.21,0.14,0.24,0.20,0.14,,,,0.16,,,,,0.31,,
Oct-00,0.31,0.18,,,0.13,,0.49,,,,,0.35,,0.15,,,0.43,,,0.28,,0.43,0.52,,0.49,0.23,0.11,,0.20,0.13,0.36,0.18,0.15,,,,0.18,,,,,0.31,,
Nov-00,0.31,0.17,,,0.14,,0.55,,,,,0.34,,0.15,,,0.50,,,0.28,,0.42,0.52,,0.52,0.23,0.10,,0.25,0.15,0.14,0.17,0.15,,,,0.17,,,,,0.33,,
Dec-00,0.32,0.18,,,0.14,,0.54,,,,,0.36,,0.15,,,0.46,,,0.28,,0.44,0.53,,0.52,0.24,0.10,,0.24,0.14,0.25,0.18,0.14,,,,0.19,,,,,0.33,,
